,Name,2_March,18_May
3400,Sandhar Technologies,534.05,517.65
3401,Sandu Pharma,68.08,62.7
3402,Sandur Manganese,413.85,540.95
3403,Sangal Papers,191.05,190.0
3404,Sangam Finserv,96.0,123.0
3405,Sangam India,494.45,386.7
3406,Sanghi Corp. Service,4.9,4.9
3407,Sanghi Industries,110.15,92.2
3408,Sanghvi Forging&Engg,16.4,16.4
3409,Sanghvi Movers,1167.35,1217.35
3410,Sanginita Chemicals,25.95,23.55
3411,Sanjivani Paranteral,178.8,185.95
3412,Sankhya Infotech,7.5,7.5
3413,Sanmit Infra,21.64,19.67
3414,Sanofi India,8719.45,8869.25
3415,Sanrhea Technical,132.6,150.0
3416,Sansera Engineering,1023.15,1060.2
3417,Santosh Fine Fab,34.17,26.5
3418,Sanwaria,0.45,0.35
3419,Sapphire Foods,1511.65,1383.8
3420,Saptak Chem,4.88,3.63
3421,Saptarishi Agro,23.6,20.94
3422,SAR Auto Products,1987.7,2297.75
3423,Saraswati Commercial,5530.05,5455.0
3424,Sarda Energy,219.35,269.7
3425,Sarda Energy,219.35,269.7
3426,Sarda Energy,219.35,269.7
3427,Sarda Energy,219.35,269.7
3428,Sarda Proteins,69.5,69.6
3429,Saregama India,408.6,431.35
3430,Sarla Performance,65.8,94.0
3431,Sarthak Global,12.42,14.37
3432,Sarthak Inds,0.0,0.0
3433,Sarthak Metals,249.75,255.6
3434,Sarup Industries,42.0,38.5
3435,Sarveshwar Foods,14.7,9.5
3436,Sarveshwar Foods,14.7,9.5
3437,Sarveshwar Foods,14.7,9.5
3438,Sarveshwar Foods,14.7,9.5
3439,Sarvottam Finvest,39.66,33.0
3440,Sashwat Technocrats,124.55,166.75
3441,Sasken Technologies,1695.95,1561.6
3442,Sastasundar Ventures,353.7,297.2
3443,Sat Industries,108.25,94.2
3444,Satchmo Holdings,0.0,0.0
3445,Sathavahana Ispat,2.45,2.45
3446,Satia Industries,124.8,115.8
3447,Satin Creditcare,237.65,240.6
3448,Satra Properties,0.99,0.85
3449,Saumya Consultants,134.0,230.15
